Genus_SCI,Genus_CN
Goodfellowia,阿波王椋鸟
Gorsachius,鳽属
Goura,蓝凤冠鸠
Gracula,鹩哥属
Gracupica,黑领椋鸟
Grafisia,白领椋鸟
Grallaria,波纹蚁鸫
Grallaricula,赭胸蚁鸫
Grallina,山鹊
Graminicola,大草莺属
Grammatoptila,条纹噪鹛
Granatellus,红胸䳭莺
Granatina,紫蓝饰雀
Grandala,大翅鸲属
Grantiella,彩蚊蜜鸟
Graueria,格氏丛莺
Graydidascalus,短尾属
Griseotyrannus,冠灰纹霸鹟
Grus,鹤属
Guadalcanaria,瓜岛吸蜜鸟
Guaruba,金鹦属
Gubernatrix,黑冠黄雀
Gubernetes,飘带尾霸鹟
Guira,圭拉属
Gulosus,欧鸬属
Guttera,长冠属
Guyramemua,高地霸鹟
Gygis,玄鸥属
Gymnasio,珠眉属
Gymnobucco,灰喉拟啄木鸟
Gymnocichla,裸顶蚁鸟
Gymnocrex,蓝脸属
Gymnoderus,裸颈果伞鸟
Gymnogyps,加州属
Gymnomystax,黄头拟鹂
Gymnomyza,绿裸吸蜜鸟
Gymnophaps,裸眶山鸠
Gymnopithys,双色蚁鸟
Gymnorhina,澳洲钟鹊
Gymnorhinus,蓝头鸦
Gymnoris,黄斑石雀
Gypaetus,胡兀鹫属
Gypohierax,棕榈属
